iter	Passed	Remaining
445	120307	149440
446	120573	149165
447	120872	148932
448	121192	148723
449	121489	148487
450	121762	148220
451	122041	147961
452	122336	147721
453	122625	147474
454	122940	147258
455	123241	147025
456	123544	146794
457	123841	146554
458	124100	146271
459	124404	146039
460	124659	145752
461	124955	145511
462	125199	145209
463	125525	145003
464	125799	144736
465	126084	144482
466	126379	144240
467	126601	143914
468	126864	143635
469	127128	143357
470	127438	143131
471	127682	142831
472	127946	142553
473	128243	142312
474	128520	142049
475	128783	141770
476	129051	141496
477	129338	141244
478	129657	141026
479	129958	140788
480	130236	140525
481	130539	140288
482	130859	140071
483	131142	139813
484	131440	139570
485	131806	139399
486	132136	139191
487	132453	138967
488	132752	138724
489	133021	138450
490	133338	138226
491	133637	137983
492	133959	137763
493	134238	137498
494	134508	137225
495	134818	136992
496	135068	136699
497	135362	136449
498	135633	136176
499	135919	135919
500	136195	135652
501	136460	135373
502	136752	135120
503	137148	134971
504	137431	134710
505	137732	134465
506	138044	134232
507	138344	133987
508	138620	133718
509	138892	133445
510	139178	133186
511	139408	132873
512	139700	132620
513	139974	132349
514	140303	132130
515	140595	131876
516	140891	131625
517	141138	131329
518	141423	131068
519	141688	130789
520	141997	130550
521	142295	130301
522	142595	130053
523	142871	129784
524	143148	129514
525	143449	129267
526	143754	129024
527	144011	128737
528	144370	128541
529	144685	128306
530	144995	128065
531	145287	127809
532	145569	127543
533	145851	127279
534	146141	127020
535	146448	126776
536	146684	126471
537	146924	126169
538	147196	125895
539	147743	125855
540	148066	125623
541	148320	125333
542	148815	125246
543	149188	125055
544	149523	124831
545	149829	124583
546	150145	124343
547	150575	124196
548	150956	124009
549	151392	123866
550	151620	123552
551	151915	123293
552	152208	123032
553	152465	122742
554	152758	122481
555	153078	122242
556	153335	121952
557	153646	121705
558	153890	121405
559	154196	121154
560	154460	120869
561	154737	120596
562	155005	120315
563	155336	120082
564	155623	119815
565	155882	119528
566	156154	119250
567	156447	118987
568	156755	118737
569	157015	118449
570	157291	118174
571	157566	117899
572	157820	117607
573	158079	117320
574	158403	117080
575	158678	116805
576	158946	116523
577	159279	116290
578	159574	116028
579	159818	115730
580	160171	115510
581	160525	115291
582	160832	115038
583	161223	114844
584	161506	114573
585	161755	114277
586	161994	113975
587	162256	113689
588	162601	113462
589	162876	113185
590	163149	112907
591	163441	112642
592	163723	112369
593	163955	112064
594	164213	111775
595	164486	111497
596	164845	111277
597	165146	111018
598	165417	110738
599	165655	110437
600	165924	110156
601	166213	109888
602	166493	109615
603	166845	109388
604	167094	109094
605	167363	108813
606	167659	108550
607	167963	108292
608	168198	107989
609	168471	107711
610	168732	107425
611	169057	107180
612	169343	106910
613	169628	106639
614	169867	106339
615	170091	106030
616	170332	105733
617	170616	105462
618	170902	105192
619	171190	104923
620	171468	104648
621	171753	104377
622	171999	104082
623	172292	103817
624	172522	103513
625	172788	103231
626	173093	102972
627	173385	102706
628	173654	102425
629	173976	102176
630	174252	101900
631	174492	101603
632	174743	101312
633	175018	101035
634	175270	100746
635	175617	100510
636	175894	100234
637	176170	99958
638	176388	99650
639	176621	99349
640	176879	99063
641	177096	98754
642	177364	98474
643	177671	98216
644	177950	97941
645	178237	97672
646	178585	97435
647	178842	97148
648	179108	96867
649	179371	96584
650	179727	96351
651	180019	96083
652	180367	95846
653	180639	95567
654	180897	95281
655	181176	95007
656	181518	94765
657	181827	94505
658	182100	94228
659	182325	93925
660	182575	93635
661	182876	93372
662	183191	93115
663	183444	92827
664	183708	92544
665	184015	92283
666	184288	92005
667	184542	91718
668	184842	91454
669	185128	91182
670	185393	90900
671	185691	90634
672	186027	90387
673	186360	90138
674	186664	89875
675	186986	89620
676	187247	89336
677	187498	89047
678	187709	88740
679	187948	88446
680	188236	88175
681	188485	87886
682	188755	87606
683	189039	87333
684	189310	87055
685	189591	86780
686	189869	86505
687	190151	86231
688	190470	85974
689	190739	85694
690	191008	85414
691	191290	85140
692	191604	84881
693	191851	84591
694	192135	84318
695	192383	84029
696	192649	83748
697	192921	83470
698	193187	83189
699	193470	82915
700	193707	82622
701	193946	82330
702	194216	82051
703	194468	81765
704	194737	81486
705	195011	81208
706	195256	80919
707	195569	80658
708	195858	80387
709	196141	80114
710	196433	79844
711	196671	79552
712	196922	79265
713	197146	78969
714	197402	78685
715	197668	78404
716	197977	78141
717	198185	77839
718	198412	77543
719	198670	77260
720	198909	76970
721	199200	76700
722	199468	76421
723	199753	76149
724	200015	75868
725	200233	75570
726	200520	75298
727	200773	75014
728	200984	74714
729	201251	74435
730	201503	74151
731	201807	73885
732	202066	73603
733	202324	73321
734	202616	73052
735	202885	72774
736	203096	72475
737	203358	72195
738	203635	71920
739	204028	71685
740	204289	71404
741	204562	71128
742	204826	70848
743	205109	70575
744	205365	70293
745	205636	70015
746	205856	69721
747	206141	69448
748	206380	69160
749	206658	68886
750	206953	68617
751	207240	68345
752	207475	68056
753	207741	67777
754	208024	67504
755	208320	67235
756	208622	66968
757	208915	66698
758	209184	66420
759	209470	66148
760	209692	65856
761	209971	65581
762	210251	65307
763	210577	65047
764	210832	64765
765	211112	64491
766	211390	64216
767	211636	63931
768	211850	63637
769	212144	63367
770	212389	63083
771	212659	62806
772	212924	62527
773	213192	62249
774	213431	61963
775	213730	61695
776	213999	61418
777	214267	61140
778	214491	60850
779	214757	60572
780	214978	60282
781	215221	59997
782	215472	59715
783	215786	59451
784	216039	59170
785	216282	58886
786	216540	58606
787	216800	58326
788	217028	58039
789	217269	57755
790	217470	57460
791	217731	57181
792	218002	56906
793	218216	56615
794	218483	56338
795	218762	56064
796	219026	55787
797	219241	55497
798	219530	55226
799	219773	54943
800	220055	54670
801	220325	54394
802	220600	54120
803	220889	53848
804	221156	53572
805	221395	53288
806	221650	53009
807	221899	52728
808	222183	52456
809	222424	52173
810	222728	51905
811	223012	51633
812	223313	51364
813	223631	51100
814	223911	50826
815	224205	50556
816	224454	50275
817	224710	49996
818	224995	49724
819	225200	49434
820	225397	49142
821	225654	48864
822	225868	48576
823	226210	48316
824	226487	48042
825	226760	47767
826	226984	47482
827	227238	47204
828	227509	46929
829	227785	46654
830	228026	46373
831	228282	46095
832	228534	45816
833	228771	45534
834	229006	45252
835	229262	44974
836	229438	44681
837	229759	44416
838	230022	44140
839	230273	43861
840	230540	43586
841	230801	43309
842	231045	43029
843	231346	42760
844	231561	42475
845	231927	42218
846	232185	41941
847	232455	41666
848	232700	41387
849	232969	41112
850	233195	40829
851	233424	40547
852	233636	40263
853	233872	39982
854	234179	39714
855	234441	39438
856	234715	39164
857	234977	38889
858	235245	38614
859	235449	38329
860	235729	38056
861	236002	37782
862	236278	37508
863	236566	37237
864	236804	36957
865	237030	36676
866	237326	36406
867	237542	36123
868	237789	35846
869	238073	35574
870	238431	35313
871	238672	35034
872	238941	34760
873	239221	34487
874	239492	34213
875	239726	33933
876	240013	33662
877	240283	33387
878	240597	33119
879	240850	32843
880	241114	32568
881	241391	32294
882	241729	32029
883	242003	31756
884	242273	31481
885	242539	31207
886	242811	30933
887	243050	30655
888	243299	30378
889	243607	30108
890	243869	29833
891	244116	29556
892	244374	29281
893	244637	29006
894	244954	28737
895	245204	28461
896	245437	28182
897	245691	27907
898	245916	27627
899	246144	27349
900	246339	27067
901	246618	26794
902	246884	26520
903	247161	26247
904	247422	25972
905	247702	25699
906	247974	25426
907	248262	25154
908	248519	24879
909	248794	24606
910	249073	24333
911	249330	24058
912	249627	23787
913	249941	23517
914	250172	23240
915	250446	22966
916	250692	22690
917	250974	22418
918	251238	22144
919	251571	21875
920	251789	21597
921	252080	21325
922	252344	21051
923	252600	20776
924	252833	20500
925	253125	20228
926	253413	19955
927	253695	19683
928	253921	19406
929	254174	19131
930	254471	18859
931	254778	18588
932	254997	18311
933	255257	18037
934	255505	17762
935	255865	17495
936	256139	17221
937	256422	16949
938	256644	16672
939	256935	16400
940	257154	16123
941	257333	15844
942	257535	15566
943	257794	15292
944	258057	15019
945	258349	14747
946	258608	14473
947	258890	14200
948	259116	13925
949	259391	13652
950	259640	13377
951	259921	13105
952	260184	12831
953	260489	12560
954	260766	12287
955	261028	12013
956	261294	11740
957	261598	11468
958	261854	11195
959	262119	10921
960	262398	10648
961	262681	10376
962	262928	10102
963	263188	9828
964	263449	9555
965	263709	9281
966	263929	9006
967	264175	8733
968	264441	8459
969	264754	8188
970	265014	7914
971	265264	7641
972	265528	7368
973	265810	7095
974	266050	6821
975	266245	6547
976	266483	6273
977	266834	6002
978	267085	5729
979	267357	5456
980	267626	5183
981	267869	4910
982	268115	4636
983	268378	4363
984	268717	4092
985	268955	3818
986	269321	3547
987	269599	3274
988	269881	3001
989	270096	2728
990	270396	2455
991	270659	2182
992	270967	1910
993	271245	1637
994	271580	1364
995	271868	1091
996	272179	818
997	272349	545
998	272614	272
999	272863	0
